"","UNIT","wmu_type","index","value"
"1","6R","normal","PC_index_half",0.00779584781396735
"2","6R","normal","PC_index_double",0.0155916956279347
"3","6R","normal","ECA_half",12102.9307011306
"4","6R","normal","ECA_double",17116.1287420006
