"","UNIT","wmu_type","index","value"
"1","4S","normal","PC_index_half",0.0566240744010976
"2","4S","normal","PC_index_double",0.113248148802195
"3","4S","normal","ECA_half",13431.5001149742
"4","4S","normal","ECA_double",18995.0096256123
