"","UNIT","wmu_type","index","value"
"1","7P","normal","PC_index_half",0.03888819994638
"2","7P","normal","PC_index_double",0.0777763998927599
"3","7P","normal","ECA_half",24365.2874818161
"4","7P","normal","ECA_double",34457.7200079037
