"","UNIT","wmu_type","index","value"
"1","3P","normal","PC_index_half",7.73809298204591e-05
"2","3P","normal","PC_index_double",0.000154761859640918
"3","3P","normal","ECA_half",483.075692529727
"4","3P","normal","ECA_double",683.172196028316
