"","WMU","Id","d_PCIntra","d_PCFlux","d_PCCon","time_diff"
"1","4U","1","2.853578021680666E-11","4.761627249901709E-6",0,19.2439049005508
"2","4U","2","1.1414312086678324E-10","9.70326099478789E-6",0,19.2439049005508
"3","4U","3","2.3570200614564106E-4","0.015790210090641497",0.000731801944935791,19.2439049005508
"4","4U","4","2.568220219346332E-10","1.4730304207303699E-5",0,19.2439049005508
"5","4U","5","2.853578021680666E-11","5.038077253122404E-6",0,19.2439049005508
"6","4U","6","2.5069527578654773E-4","0.015940033502097637",0.000869783542923184,19.2439049005508
"7","4U","7","2.8535780214811454E-11","4.447481827296373E-6",0,19.2439049005508
"8","4U","8","2.853578021680666E-11","4.4362470958625805E-6",0,19.2439049005508
"9","4U","9","2.853578021680666E-11","4.53911201960965E-6",0,19.2439049005508
"10","4U","10","2.853578021503314E-11","4.491410751072549E-6",2.61956952822087e-12,19.2439049005508
"11","4U","11","2.853578021503314E-11","3.1461391735966775E-6",0,19.2439049005508
"12","4U","12","2.853578021680666E-11","4.502784826834235E-6",0,19.2439049005508
"13","4U","13","2.853578021503314E-11","4.552539121510629E-6",0,19.2439049005508
"14","4U","14","2.853578021503314E-11","5.33147345437934E-6",0,19.2439049005508
"15","4U","15","8.879467315429739E-5","0.010551843151428254",0.00356070530958773,19.2439049005508
"16","4U","16","1.3811317624466215E-8","9.888861142143699E-5",1.37270961140594e-10,19.2439049005508
"17","4U","17","1.6436609404285784E-6","0.0010842637401028666",4.48035975872999e-06,19.2439049005508
"18","4U","18","2.853578021503314E-11","5.226085370552699E-6",0,19.2439049005508
"19","4U","19","2.853578021503314E-11","5.545343525383364E-6",0,19.2439049005508
"20","4U","20","2.8535780214811454E-11","5.542027142518702E-6",4.54901675372649e-08,19.2439049005508
"21","4U","21","2.853578021680666E-11","4.992053420327439E-6",0,19.2439049005508
"22","4U","22","2.853578021680666E-11","5.512312425213228E-6",0,19.2439049005508
"23","4U","23","2.853578021680666E-11","4.395294911360719E-6",0,19.2439049005508
"24","4U","24","2.853578021680666E-11","5.558172401958233E-6",0,19.2439049005508
"25","4U","25","2.8535780216584958E-11","5.55212445952444E-6",0,19.2439049005508
"26","4U","26","2.8535780216584958E-11","5.592614475261661E-6",0,19.2439049005508
"27","4U","27","2.853578021503314E-11","5.306824432758619E-6",0,19.2439049005508
"28","4U","28","2.853578021680666E-11","4.366015003616399E-6",0,19.2439049005508
"29","4U","29","1.1794091931631157E-4","0.010377267169230283",0.00225529675651636,19.2439049005508
"30","4U","30","2.5682202194527434E-10","1.1361045524630454E-5",0,19.2439049005508
"31","4U","31","2.853578021680666E-11","4.30467678163946E-6",0,19.2439049005508
"32","4U","32","4.5657248343964357E-10","1.5580443903332932E-5",0,19.2439049005508
"33","4U","33","1.1414312086678324E-10","8.557096998538333E-6",0,19.2439049005508
"34","4U","34","2.8535780214811454E-11","4.853676230899653E-6",5.64637208625604e-08,19.2439049005508
"35","4U","35","4.602535991004808E-5","0.008744131836780697",0.00298388294677824,19.2439049005508
"36","4U","36","2.8535780215698216E-9","4.34080809977751E-5",0,19.2439049005508
"37","4U","37","2.8535780214811454E-11","6.413934127677437E-6",0,19.2439049005508
"38","4U","38","2.853578021680666E-11","4.692106136256994E-6",0,19.2439049005508
"39","4U","39","2.853578021680666E-11","4.239872158082239E-6",0,19.2439049005508
"40","4U","40","1.1414312086367959E-10","6.564633581710211E-6",0,19.2439049005508
"41","4U","41","1.319494477176447E-7","3.2716984599728274E-4",3.38652091185846e-09,19.2439049005508
"42","4U","42","2.853578021503314E-11","6.3387765085455385E-6",0,19.2439049005508
"43","4U","43","2.8535780214811454E-11","6.361412263261466E-6",0,19.2439049005508
"44","4U","44","8.246840482336782E-9","7.932781926412832E-5",2.64998851005006e-13,19.2439049005508
"45","4U","45","2.853578021503314E-11","4.366580444278313E-6",0,19.2439049005508
"46","4U","46","2.8535780214811454E-11","6.463461990462995E-6",4.25418091383069e-10,19.2439049005508
"47","4U","47","1.1528740564984758E-6","0.0013002027236756765",1.02835368438512e-06,19.2439049005508
"48","4U","48","4.4297803775807205E-6","0.002742837056447897",3.70435009820381e-05,19.2439049005508
"49","4U","49","2.853578021503314E-11","6.44182729443746E-6",0,19.2439049005508
"50","4U","50","4.5657248344762426E-10","1.985901479837872E-5",0,19.2439049005508
"51","4U","51","2.853578021680666E-11","6.709905584163883E-6",0,19.2439049005508
"52","4U","52","2.8535780216584958E-11","6.727584628171596E-6",0,19.2439049005508
"53","4U","53","2.8535780216584958E-11","6.400942917330749E-6",0,19.2439049005508
"54","4U","54","2.853578021503314E-11","4.787225977519545E-6",0,19.2439049005508
"55","4U","55","1.1414312085968918E-10","8.402224126541821E-6",0,19.2439049005508
"56","4U","56","1.1414312086279286E-10","1.259553324080524E-5",0,19.2439049005508
"57","4U","57","2.8535780214811454E-11","6.326227454367535E-6",0,19.2439049005508
"58","4U","58","2.853578021680666E-11","5.26725675205039E-6",0,19.2439049005508
"59","4U","59","2.8535780216584958E-11","6.088768424267454E-6",0,19.2439049005508
"60","4U","60","2.853578021680666E-11","6.263521333571139E-6",0,19.2439049005508
"61","4U","61","2.853578021503314E-11","4.800021471921334E-6",0,19.2439049005508
