"","UNIT","wmu_type","index","value"
"1","5G","normal","PC_index_half",0.0365796332128257
"2","5G","normal","PC_index_double",0.0731592664256513
"3","5G","normal","ECA_half",61579.9411890208
"4","5G","normal","ECA_double",87087.1879996508
