"","UNIT","wmu_type","index","value"
"1","5H","normal","PC_index_half",0.194428364536834
"2","5H","normal","PC_index_double",0.388856729073667
"3","5H","normal","ECA_half",352730.054086576
"4","5H","normal","ECA_double",498835.62634583
