"","UNIT","wmu_type","index","value"
"1","8S","normal","PC_index_half",4.50333573365043e-05
"2","8S","normal","PC_index_double",9.00667146730086e-05
"3","8S","normal","ECA_half",638.422986193173
"4","8S","normal","ECA_double",902.866445605116
